area,cont,pal,location,cat,item,diam_value,length_value,size,qty,diam_display,length_display,NOTE
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
CONTAINER,,,_,,,,, X ,,,,_
