area,cont,pal,location,cat,item,diam_value,length_value,size,qty,diam_display,length_display,NOTE,PO
CONTAINER,GD78ES,01,GD78ES_01,BOLTS,BOLT HDG,22.00,300.00,22 X 300,600,22,300,GD78ES_01,3425
CONTAINER,GD78ES,02,GD78ES_02,BOLTS,BOLT HDG,22.00,300.00,22 X 300,600,22,300,GD78ES_02,3425
CONTAINER,GD78ES,03,GD78ES_03,BOLTS,BOLT HDG,22.00,300.00,22 X 300,600,22,300,GD78ES_03,3425
CONTAINER,GD78ES,04,GD78ES_04,BOLTS,BOLT HDG,22.00,300.00,22 X 300,204,22,300,GD78ES_04,3425
CONTAINER,GD78ES,05,GD78ES_05,BOLTS,BOLT HDG,22.00,300.00,22 X 300,636,22,300,GD78ES_05,4030
CONTAINER,GD78ES,06,GD78ES_06,BOLTS,BOLT HDG,20.00,375.00,20 X 375,636,20,375,GD78ES_06,3425
CONTAINER,GD78ES,07,GD78ES_07,BOLTS,BOLT HDG,20.00,375.00,20 X 375,642,20,375,GD78ES_07,3425
CONTAINER,GD78ES,08,GD78ES_08,BOLTS,BOLT HDG,20.00,375.00,20 X 375,642,20,375,GD78ES_08,3425
CONTAINER,GD78ES,09,GD78ES_09,BOLTS,BOLT HDG,20.00,325.00,20 X 325,850,20,325,GD78ES_09,3425
CONTAINER,GD78ES,10,GD78ES_10,BOLTS,BOLT HDG,20.00,325.00,20 X 325,850,20,325,GD78ES_10,3425
CONTAINER,GD78ES,11,GD78ES_11,BOLTS,BOLT HDG,20.00,500.00,20 X 500,210,20,500,GD78ES_11,3425
CONTAINER,GD78ES,12,GD78ES_12,BOLTS,BOLT HDG,20.00,500.00,20 X 500,210,20,500,GD78ES_12,3425
CONTAINER,GD78ES,13,GD78ES_13,BOLTS,BOLT HDG,20.00,500.00,20 X 500,210,20,500,GD78ES_13,3425
CONTAINER,GD78ES,14,GD78ES_14,BOLTS,BOLT HDG,20.00,500.00,20 X 500,210,20,500,GD78ES_14,3425
CONTAINER,GD78ES,15,GD78ES_15,BOLTS,BOLT HDG,20.00,500.00,20 X 500,210,20,500,GD78ES_15,3425
CONTAINER,GD78ES,16,GD78ES_16,BOLTS,BOLT HDG,20.00,500.00,20 X 500,210,20,500,GD78ES_16,3425
CONTAINER,GD78ES,17 (MIX-2),GD78ES_17 (MIX-2),BOLTS,BOLT HDG,20.00,500.00,20 X 500,96,20,500,GD78ES_17 (MIX-2),3425
CONTAINER,GD78ES,18,GD78ES_18,BOLTS,BOLT HDG,22.00,450.00,22 X 450,320,22,450,GD78ES_18,3425
CONTAINER,GD78ES,19,GD78ES_19,BOLTS,BOLT HDG,22.00,450.00,22 X 450,320,22,450,GD78ES_19,3425
CONTAINER,GD78ES,20,GD78ES_20,BOLTS,BOLT HDG,22.00,450.00,22 X 450,320,22,450,GD78ES_20,3425
CONTAINER,GD78ES,21,GD78ES_21,BOLTS,BOLT HDG,22.00,450.00,22 X 450,320,22,450,GD78ES_21,3425
CONTAINER,GD78ES,22,GD78ES_22,BOLTS,BOLT HDG,22.00,450.00,22 X 450,320,22,450,GD78ES_22,3425
CONTAINER,GD78ES,23,GD78ES_23,BOLTS,BOLT HDG,22.00,450.00,22 X 450,320,22,450,GD78ES_23,3425
CONTAINER,GD78ES,24,GD78ES_24,BOLTS,BOLT HDG,22.00,356.00,22 X 356,480,22,356,GD78ES_24,4030
CONTAINER,GD78ES,25,GD78ES_25,BOLTS,BOLT HDG,22.00,356.00,22 X 356,480,22,356,GD78ES_25,4030
CONTAINER,GD78ES,26,GD78ES_26,BOLTS,BOLT HDG,22.00,356.00,22 X 356,480,22,356,GD78ES_26,4030
CONTAINER,GD78ES,27,GD78ES_27,BOLTS,BOLT HDG,22.00,356.00,22 X 356,480,22,356,GD78ES_27,4030
CONTAINER,GD78ES,28,GD78ES_28,BOLTS,BOLT HDG,22.00,356.00,22 X 356,480,22,356,GD78ES_28,4030
CONTAINER,GD78ES,29,GD78ES_29,BOLTS,BOLT HDG,20.00,550.00,20 X 550,210,20,550,GD78ES_29,4030
CONTAINER,GD78ES,30,GD78ES_30,ASSEMBLED,ASS HDG,30.00,110.00,30 X 110,800,30,110,GD78ES_30,3857
CONTAINER,GD78ES,31,GD78ES_31,ASSEMBLED,ASS HDG,30.00,110.00,30 X 110,800,30,110,GD78ES_31,3857
CONTAINER,GD78ES,32,GD78ES_32,SQUARE WASHERS,ROUND HOLE ZP,12.00,40.00,40² X 10 X 13,9200,12,40,GD78ES_32,4214
CONTAINER,GD78ES,33,GD78ES_33,ASSEMBLED,ASS HDG,30.00,130.00,30 X 130,540,30,130,GD78ES_33,3857
CONTAINER,GD78ES,34,GD78ES_34,ASSEMBLED,ASS HDG,12.00,50.00,12 X 50,7200,12,50,GD78ES_34,2577
CONTAINER,GD78ES,35 (MIX-2),GD78ES_35 (MIX-2),BOLTS,BOLT HDG,20.00,550.00,20 X 550,150,20,550,GD78ES_35 (MIX-2),4030
CONTAINER,GD78ES,36,GD78ES_36,BOLTS,BOLT HDG,20.00,450.00,20 X 450,762,20,450,GD78ES_36,3425
