area,cont,pal,location,cat,item,diam_value,length_value,size,qty,diam_display,length_display,NOTE,PO,
CONTAINER,GD96ES,01,GD96ES_01,ASSEMBLED,ASS HDG,30,130,30 X 130,600,30,130,GD96ES_01,3857,1
CONTAINER,GD96ES,02,GD96ES_02,ASSEMBLED,ASS HDG,30,130,30 X 130,600,30,130,GD96ES_02,3857,2
CONTAINER,GD96ES,03,GD96ES_03,ASSEMBLED,ASS HDG,30,130,30 X 130,585,30,130,GD96ES_03,3857,3
CONTAINER,GD96ES,04,GD96ES_04,ASSEMBLED,ASS HDG,30,130,30 X 130,510,30,130,GD96ES_04,2577,4
CONTAINER,GD96ES,05,GD96ES_05,ASSEMBLED,ASS HDG,30,110,30 X 110,800,30,110,GD96ES_05,3857,5
CONTAINER,GD96ES,06,GD96ES_06,ASSEMBLED,ASS HDG,30,110,30 X 110,800,30,110,GD96ES_06,3857,6
CONTAINER,GD96ES,07 (MIX-2),GD96ES_07 (MIX-2),ASSEMBLED,ASS HDG,30,110,30 X 110,500,30,110,GD96ES_07 (MIX-2),3857,7
CONTAINER,GD96ES,08,GD96ES_08,ASSEMBLED,ASS HDG,20,80,20 X 80,"2,400",20,80,GD96ES_08,4739,8
CONTAINER,GD96ES,09,GD96ES_09,ASSEMBLED,ASS HDG,20,80,20 X 80,"2,400",20,80,GD96ES_09,4739,9
CONTAINER,GD96ES,10,GD96ES_10,ASSEMBLED,ASS HDG,20,80,20 X 80,"2,400",20,80,GD96ES_10,4739,10
CONTAINER,GD96ES,11,GD96ES_11,ASSEMBLED,ASS HDG,20,80,20 X 80,"1,980",20,80,GD96ES_11,4739,11
CONTAINER,GD96ES,12,GD96ES_12,ASSEMBLED,ASS HDG,12,35,12 X 35,"12,000",12,35,GD96ES_12,2577,12
CONTAINER,GD96ES,13,GD96ES_13,SQUARE WASHERS,ROUND HOLE HDG,21,50,50² X 3 X 21,"11,600",21,50,GD96ES_13,4030,13
CONTAINER,GD96ES,14,GD96ES_14,SQUARE WASHERS,ROUND HOLE HDG,21,50,50² X 3 X 21,"5,500",21,50,GD96ES_14,4030,14
CONTAINER,GD96ES,15,GD96ES_15,SQUARE WASHERS,ROUND HOLE HDG,21,50,50² X 3 X 21,"11,600",21,50,GD96ES_15,3481,15
CONTAINER,GD96ES,16,GD96ES_16,OTHER,STUD ZP,12,180,12 X 180,"5,000",12,180,GD96ES_16,3446,16
CONTAINER,GD96ES,17,GD96ES_17,OTHER,STUD ZP,12,180,12 X 180,"5,250",12,180,GD96ES_17,3446,17
CONTAINER,GD96ES,18,GD96ES_18,U/J/C BOLTS,U BOLT HDG (S),12,114.3,12 X 114 X 195,720,12,114 X 195 (S),GD96ES_18,3259,18
CONTAINER,GD96ES,19 (MIX-3),GD96ES_19 (MIX-2),U/J/C BOLTS,U BOLT HDG (S),12,114.3,12 X 114 X 195,360,12,114 X 195 (S),GD96ES_19 (MIX-2),3259,19
CONTAINER,GD96ES,20,GD96ES_20,BOLTS,BOLT HDG,20,500,20 X 500,270,20,500,GD96ES_20,3425,20
CONTAINER,GD96ES,21,GD96ES_21,BOLTS,BOLT HDG,20,500,20 X 500,270,20,500,GD96ES_21,3425,21
CONTAINER,GD96ES,22,GD96ES_22,BOLTS,BOLT HDG,20,500,20 X 500,270,20,500,GD96ES_22,3425,22
CONTAINER,GD96ES,23,GD96ES_23,BOLTS,BOLT HDG,20,500,20 X 500,270,20,500,GD96ES_23,3425,23
CONTAINER,GD96ES,24,GD96ES_24,BOLTS,BOLT HDG,20,500,20 X 500,270,20,500,GD96ES_24,3425,24
CONTAINER,GD96ES,25,GD96ES_25,BOLTS,BOLT HDG,20,500,20 X 500,96,20,500,GD96ES_25,3425,25
CONTAINER,GD96ES,26,GD96ES_26,BOLTS,BOLT HDG,20,500,20 X 500,270,20,500,GD96ES_26,3669,26
CONTAINER,GD96ES,27,GD96ES_27,BOLTS,BOLT HDG,20,500,20 X 500,228,20,500,GD96ES_27,3669,27
CONTAINER,GD96ES,28,GD96ES_28,BOLTS,BOLT HDG,20,550,20 X 550,222,20,550,GD96ES_28,4030,28
CONTAINER,GD96ES,29,GD96ES_29,BOLTS,BOLT HDG,20,325,20 X 325,"1,000",20,325,GD96ES_29,3425,29
CONTAINER,GD96ES,30 (MIX-2),GD96ES_30 (MIX-2),BOLTS,BOLT HDG,20,325,20 X 325,400,20,325,GD96ES_30 (MIX-2),3425,30
CONTAINER,GD96ES,31,GD96ES_31,BOLTS,BOLT HDG,20,375,20 X 375,600,20,375,GD96ES_31,4030,31
CONTAINER,GD96ES,32,GD96ES_32,BOLTS,BOLT HDG,20,375,20 X 375,84,20,375,GD96ES_32,4030,32
CONTAINER,GD96ES,33 (MIX-2),GD96ES_33 (MIX-2),BOLTS,BOLT HDG,20,375,20 X 375,132,20,375,GD96ES_33 (MIX-2),3425,33
CONTAINER,GD96ES,34,GD96ES_34,BOLTS,BOLT HDG,20,280,20 X 280,"1,000",20,280,GD96ES_34,3669,34
