area,cont,pal,location,cat,item,diam_value,length_value,size,qty,diam_display,length_display,NOTE,PO
CONTAINER,GD96ES,01,GD96ES_01,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_01,
CONTAINER,GD96ES,02,GD96ES_02,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_02,
CONTAINER,GD96ES,03,GD96ES_03,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_03,
CONTAINER,GD96ES,04,GD96ES_04,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_04,
CONTAINER,GD96ES,05,GD96ES_05,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_05,
CONTAINER,GD96ES,06,GD96ES_06,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_06,
CONTAINER,GD96ES,07,GD96ES_07,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_07,
CONTAINER,GD96ES,08,GD96ES_08,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_08,
CONTAINER,GD96ES,09,GD96ES_09,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_09,
CONTAINER,GD96ES,10,GD96ES_10,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_10,
CONTAINER,GD96ES,11,GD96ES_11,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_11,
CONTAINER,GD96ES,12,GD96ES_12,BOLTS,BOLT HDG,20.00,550.00,20 X 550,228,20,550,GD96ES_12,
CONTAINER,GD96ES,13,GD96ES_13,BOLTS,BOLT HDG,20.00,550.00,20 X 550,192,20,550,GD96ES_13,
CONTAINER,GD96ES,14 (MIX-2),GD96ES_14 (MIX-2),BOLTS,BOLT HDG,20.00,325.00,20 X 325,530,20,325,GD96ES_14 (MIX-2),
CONTAINER,GD96ES,14 (MIX-2),GD96ES_14 (MIX-2),BOLTS,BOLT HDG,20.00,550.00,20 X 550,72,20,550,GD96ES_14 (MIX-2),
CONTAINER,GD96ES,15,GD96ES_15,BOLTS,BOLT HDG,20.00,325.00,20 X 325,800,20,325,GD96ES_15,
CONTAINER,GD96ES,16,GD96ES_16,BOLTS,BOLT HDG,20.00,280.00,20 X 280,1000,20,280,GD96ES_16,
CONTAINER,GD96ES,17,GD96ES_17,BOLTS,BOLT HDG,20.00,280.00,20 X 280,1000,20,280,GD96ES_17,
CONTAINER,GD96ES,18,GD96ES_18,BOLTS,BOLT HDG,20.00,280.00,20 X 280,1000,20,280,GD96ES_18,
CONTAINER,GD96ES,19,GD96ES_19,BOLTS,BOLT HDG,22.00,356.00,22 X 356,480,22,356,GD96ES_19,
CONTAINER,GD96ES,20,GD96ES_20,BOLTS,BOLT HDG,22.00,356.00,22 X 356,462,22,356,GD96ES_20,
CONTAINER,GD96ES,21,GD96ES_21,BOLTS,BOLT HDG,22.00,356.00,22 X 356,174,22,356,GD96ES_21,
