area,cont,pal,location,cat,item,diam_value,length_value,size,qty,diam_display,length_display,NOTE,PO
CONTAINER,LT625,1,LT625_01,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_01,
CONTAINER,LT625,2,LT625_02,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_02,
CONTAINER,LT625,3,LT625_03,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_03,
CONTAINER,LT625,4,LT625_04,TEX SCREWS,GAGRER70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_04,
CONTAINER,LT625,5,LT625_05,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_05,
CONTAINER,LT625,6,LT625_06,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_06,
CONTAINER,LT625,7,LT625_07,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_07,
CONTAINER,LT625,8,LT625_08,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_08,
CONTAINER,LT625,9,LT625_09,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_09,
CONTAINER,LT625,10,LT625_10,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_10,
CONTAINER,LT625,11,LT625_11,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_11,
CONTAINER,LT625,12,LT625_12,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_12,
CONTAINER,LT625,13,LT625_13,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_13,
CONTAINER,LT625,14,LT625_14,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_14,
CONTAINER,LT625,15,LT625_15,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_15,
CONTAINER,LT625,16,LT625_16,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_16,
CONTAINER,LT625,17,LT625_17,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_17,
CONTAINER,LT625,18,LT625_18,TEX SCREWS,GAGRIR70GB16H,5.5,70,5.5-12 X 70,36000,5.5-12,70,LT625_18,
CONTAINER,LT625,19,LT625_19,TEX SCREWS,GCPSTR/HT60GB19,14,60,14 X 60,36000,14,60,LT625_19,
CONTAINER,LT625,20,LT625_20,TEX SCREWS,GCPSTR/HT60GB19,14,60,14 X 60,36000,14,60,LT625_20,
CONTAINER,LT625,21,LT625_21,TEX SCREWS,GCPSTR/HT60GB19,14,60,14 X 60,36000,14,60,LT625_21,
CONTAINER,LT625,22,LT625_22,TEX SCREWS,GCPSTR/HT60GB19,14,60,14 X 60,36000,14,60,LT625_22,
CONTAINER,LT625,23,LT625_23,TEX SCREWS,GCPSTR/HT80GB19,14,80,14 X 80,28800,14,80,LT625_23,
CONTAINER,LT625,24,LT625_24,TEX SCREWS,GCPSTR/HT80GB19,14,80,14 X 80,28800,14,80,LT625_24,
CONTAINER,LT625,25,LT625_25,TEX SCREWS,GCPSTR/HT80GB19,14,80,14 X 80,28800,14,80,LT625_25,
CONTAINER,LT625,26,LT625_26,TEX SCREWS,GCPSTR/HT80GB19,14,80,14 X 80,28800,14,80,LT625_26,
CONTAINER,LT625,27 (MIX-3),LT625_27 (MIX-3),TEX SCREWS,GTR1420GB16,14,22,14 X 22,16800,14,22,LT625_27 (MIX-3),
CONTAINER,LT625,27 (MIX-3),LT625_27 (MIX-3),TEX SCREWS,GCPSTR/HT80GB19,14,80,14 X 80,23200,14,80,LT625_27 (MIX-3),
CONTAINER,LT625,27 (MIX-3),LT625_27 (MIX-3),TEX SCREWS,GCPSTR/HT80GB19,14,80,14 X 80,100,14,80,LT625_27 (MIX-3),
CONTAINER,LT625,28 (MIX-2),LT625_28 (MIX-2),TEX SCREWS,GCPSTR/HT100GB19,14,100,14 X 100,20400,14,100,LT625_28 (MIX-2),
CONTAINER,LT625,28 (MIX-2),LT625_28 (MIX-2),TEX SCREWS,GCPSTR/HT100GB19,14,100,14 X 100,300,14,100,LT625_28 (MIX-2),
CONTAINER,LT625,29 (MIX-2),LT625_29 (MIX-2),TEX SCREWS,GCPSTR/HT125GB19,14,125,14 X 125,17500,14,125,LT625_29 (MIX-2),
CONTAINER,LT625,29 (MIX-2),LT625_29 (MIX-2),TEX SCREWS,GCPSTR/HT125GB19,14,125,14 X 125,100,14,125,LT625_29 (MIX-2),
CONTAINER,LT625,30,LT625_30,TEX SCREWS,GTR23GB16,12,57,12 X 57,50400,12,57,LT625_30,
CONTAINER,LT625,31 (MIX-2),LT625_31 (MIX-2),TEX SCREWS,GTR23GB16,12,57,12 X 57,47600,12,57,LT625_31 (MIX-2),
CONTAINER,LT625,31 (MIX-2),LT625_31 (MIX-2),TEX SCREWS,GTR23GB16,12,57,12 X 57,200,12,57,LT625_31 (MIX-2),
CONTAINER,LT625,32,LT625_32,TEX SCREWS,GTR1420GB16,14,22,14 X 22,100800,14,22,LT625_32,
CONTAINER,LT625,33,LT625_33,TEX SCREWS,GTR1420GB16,14,22,14 X 22,100800,14,22,LT625_33,
CONTAINER,LT625,34,LT625_34,TEX SCREWS,GTR1420GB16,14,22,14 X 22,100800,14,22,LT625_34,
CONTAINER,LT625,35,LT625_35,TEX SCREWS,GTR1420GB16,14,22,14 X 22,100800,14,22,LT625_35,
CONTAINER,LT625,36 (MIX-2),LT625_36 (MIX-2),TEX SCREWS,ADGTR14GB16,12,25,12 X 25,95200,12,25,LT625_36 (MIX-2),
CONTAINER,LT625,36 (MIX-2),LT625_36 (MIX-2),TEX SCREWS,ADGTR14GB16,12,25,12 X 25,1900,12,25,LT625_36 (MIX-2),
CONTAINER,LT625,37,LT625_37,TEX SCREWS,GTP1420GB16,14,22,14 X 22,100800,14,22,LT625_37,
CONTAINER,LT625,38 (MIX-6),LT625_38 (MIX-6),TEX SCREWS,GTP1420GB16,14,22,14 X 22,61600,14,22,LT625_38 (MIX-6),
CONTAINER,LT625,38 (MIX-6),LT625_38 (MIX-6),TEX SCREWS,GTP1420GB16,14,22,14 X 22,200,14,22,LT625_38 (MIX-6),
CONTAINER,LT625,38 (MIX-6),LT625_38 (MIX-6),TEX SCREWS,ADGTR1420GB16,14,22,14 X 22,25200,14,22,LT625_38 (MIX-6),
CONTAINER,LT625,38 (MIX-6),LT625_38 (MIX-6),TEX SCREWS,ADGTR1420GB16,14,22,14 X 22,870,14,22,LT625_38 (MIX-6),
CONTAINER,LT625,38 (MIX-6),LT625_38 (MIX-6),TEX SCREWS,GCPSTR/HT60GB19,14,60,14 X 60,2000,14,60,LT625_38 (MIX-6),
CONTAINER,LT625,38 (MIX-6),LT625_38 (MIX-6),TEX SCREWS,GCPSTR/HT60GB19,14,60,14 X 60,800,14,60,LT625_38 (MIX-6),
CONTAINER,LT625,39 (MIX-4),LT625_ 39 (MIX-4),TEX SCREWS,GTR24GB16,12,38,12-24 X 38,68200,12-24,38,LT625_ 39 (MIX-4),
